paper_id,paper_info,specter_neighbor_1,specter_distance_1,hibert_neighbor_1,hibert_distance_1,specter_neighbor_2,specter_distance_2,hibert_neighbor_2,hibert_distance_2,specter_neighbor_3,specter_distance_3,hibert_neighbor_3,hibert_distance_3,specter_neighbor_4,specter_distance_4,hibert_neighbor_4,hibert_distance_4,specter_neighbor_5,specter_distance_5,hibert_neighbor_5,hibert_distance_5
77499681,"Effects of Teriparatide Administration on Fracture Healing after Intramedullary Nailing in Atypical Femoral Fractures, by Chul Hyun Park, Oog Jin Shon, Jeong Jae Moon, Bum Jin Shim, Jae Hee Heo (2016).","Determinants of outcome in critically ill octogenarians after surgery: an observational study., by P Ford, I Thomas, T Cook, E Whitley, C Peden (2007).",0.27427077,"Mechanism of specifying level of detail in episodic future thinking, by Yuichi Ito, Yosuke Hattori, Jun Kawaguchi (2012).",0.0009596348,"The Lipid Paradox Among Acute Ischemic Stroke Patients-A Retrospective Study of Outcomes and Complications, by Urvish Patel, Preeti Malik, Mihir Dave, Matthew DeMasi, Abhishek Lunagariya, Vishal Jani, Mandip Dhamoon (2019).",0.29219055,"Influence Propagation in Social Networks: A Data Mining Perspective, by Francesco Bonchi (2011).",0.0014090538,"Cone-beam CT angiography (Dyna CT) for intraoperative localization of cerebral arteriovenous malformations., by Visish Srinivasan, Sebastian Schafer, Michael Ghali, Adam Arthur, Edward Duckworth (2016).",0.31567633,"An update on model Ayush wellness clinic at president’s estate, India, by Upendarrao Golla (2018).",0.0024576187,"Indications for conservative management of scoliosis (guidelines), by Hans-Rudolf Weiss, Stefano Negrini, Manuel Rigo, Tomasz Kotwicki, Martha Hawes, Theodoros Grivas, Toru Maruyama, Franz Landauer (2006).",0.32375842,"A novel automatic regulatory device for continuous bladder irrigation based on wireless sensor in patients after transurethral resection of the prostate: A prospective investigation, by Aimin Ding, Huling Cao, Lihua Wang, Jiangang Chen, Jian Wang, Bosheng He (2016).",0.0024842024,"Type 2 Diabetes Mellitus, Oral Diabetic Medications, Insulin Therapy, and Overall Breast Cancer Risk, by Hala Ahmadieh, Sami Azar (2013).",0.34521484,"The Lipid Paradox Among Acute Ischemic Stroke Patients-A Retrospective Study of Outcomes and Complications, by Urvish Patel, Preeti Malik, Mihir Dave, Matthew DeMasi, Abhishek Lunagariya, Vishal Jani, Mandip Dhamoon (2019).",0.0025319457
94551546,"Gd(III) ion-chelated supramolecular assemblies composed of PGMA-based polycations for effective biomedical applications, by Yu Zhao, Shun Duan, Bingran Yu, Fu-Sheng Liu, Gang Cheng, Fu-Jian Xu (2015).","The Del1 deposition domain can immobilize 3α-hydroxysteroid dehydrogenase in the extracellular matrix without interfering with enzymatic activity, by Chiaki Hidai, Hisataka Kitano, Shinichiro Kokubun (2008).",0.22939551,"The Del1 deposition domain can immobilize 3α-hydroxysteroid dehydrogenase in the extracellular matrix without interfering with enzymatic activity, by Chiaki Hidai, Hisataka Kitano, Shinichiro Kokubun (2008).",0.00022304058,"Energy scaling law for nanostructured materials, by Jianmin Tao, Yang Jiao, Yuxiang Mo, Zeng-Hui Yang, Jian-Xin Zhu, Per Hyldgaard, John Perdew (2017).",0.35276598,"Pressure Overload Increases GATA4 Binding Activity via Endothelin-1, by Nina Hautala, Heikki Tokola, Marja Luodonpää, Jutta Puhakka, Hannu Romppanen, Olli Vuolteenaho, Heikki Ruskoaho (2001).",0.000256598,"Cone-beam CT angiography (Dyna CT) for intraoperative localization of cerebral arteriovenous malformations., by Visish Srinivasan, Sebastian Schafer, Michael Ghali, Adam Arthur, Edward Duckworth (2016).",0.35874534,"Duplicated rDNA sequences of variable lengths flanking the short type I insertions in the rDNA of Drosophila melanogaster., by H Roiha, D Glover (1981).",0.00028818846,"Necessity of noise in physiology and medicine, by Ervin Sejdic, Lewis Lipsitz (2013).",0.3595662,"Use of recombinant human growth hormone (rhGH) plus recombinant human granulocyte colony-stimulating factor (rhG-CSF) for the mobilization and collection of CD34+ cells in poor mobilizers, by C. Carlo-Stella (2004).",0.00029665232,"Mechanisms of resistance to TRAIL-induced apoptosis in cancer, by Lidong Zhang, Bingliang Fang (2005).",0.36132485,"In vivo/in vitro Studies of the Effects of the Type II Arabinogalactan Isolated from Maytenus ilicifolia Mart. ex Reissek on the Gastrointestinal Tract of Rats, by Cristiane Baggio, Cristina Freitas, André Twardowschy, Ana Santos, Bárbara Mayer, Francine Potrich, Thales Cipriani, Guilherme Sassaki, Marcello Iacomini, Maria Marques, Sonia Mesia-Vela (2012).",0.0003296137
159355456,"An update on model Ayush wellness clinic at president’s estate, India, by Upendarrao Golla (2018).","Dynamic Parameters of Balance Which Correlate to Elderly Persons with a History of Falls, by Jesse Muir, Douglas Kiel, Marian Hannan, Jay Magaziner, Clinton Rubin (2013).",4.7683716e-07,"Toward estimating the impact of changes in immigrants' insurance eligibility on hospital expenditures for uncompensated care, by Liana Castel, Justin Timbie, Veronica Sendersky, Lesley Curtis, Keith Feather, Kevin Schulman (2003).",0.0003633499,"Swift: the missing link between peer-to-peer and information-centric networks, by Flutra Osmani, Victor Grishchenko, Raul Jimenez, Björn Knutsson (2012).",4.7683716e-07,"Accessing Fellow Academics as Research Participants: Constraints, Collegiality, and “Academic Citizenship”, by Yongyan Li (2015).",0.00043070316,"Aerodrome Warning Verification Using Quality Measurement of Contingency Table (Case Study in Jakarta and Tanjungpinang), by Mochammad Donny Anggoro, Diana Cahaya Siregar, Regina Dara Ninggar, Laksita Widomurti (2020).",4.7683716e-07,"Understanding patient safety performance and educational needs using the ‘Safety-II’ approach for complex systems, by Duncan McNab, Paul Bowie, Jill Morrison, Alastair Ross (2016).",0.00048303604,"Cosmic Ray Removal in Fiber Spectroscopic Image, by Zhongrui Bai, Haotong Zhang, Hailong Yuan, Jeffrey Carlin, Guangwei Li, Yongheng Zhao, Zihuang Cao (2017).",4.7683716e-07,"The Lipid Paradox Among Acute Ischemic Stroke Patients-A Retrospective Study of Outcomes and Complications, by Urvish Patel, Preeti Malik, Mihir Dave, Matthew DeMasi, Abhishek Lunagariya, Vishal Jani, Mandip Dhamoon (2019).",0.00052160025,"Maximal Thurston–Bennequin number of +adequate links, by Tamás Kálmán (2008).",0.00048160553,"Trust in Group Decisions: a scoping review, by Jason Sapp, Dario Torre, Kelsey Larsen, Eric Holmboe, Steven Durning (2019).",0.0005465746
18980380,"Distributionally Robust Counterpart in Markov Decision Processes, by Pengqian Yu, Huan Xu (2016).","GRAPHS WITH 4-STEINER CONVEX BALLS, by Tanja Gologranc (2015).",0.1934278,"High Resolution OFDM Channel Estimation with Low Speed ADC Using Compressive Sensing, by Jia Meng, Yingying Li, Nam Nguyen, Wotao Yin, Zhu Han (2011).",0.00016134977,"Conditional Density Estimation with Dimensionality Reduction via Squared-Loss Conditional Entropy Minimization, by Voot Tangkaratt, Ning Xie, Masashi Sugiyama (2015).",0.19803101,"Conditional Density Estimation with Dimensionality Reduction via Squared-Loss Conditional Entropy Minimization, by Voot Tangkaratt, Ning Xie, Masashi Sugiyama (2015).",0.00017911196,"GLOBAL EXISTENCE AND DECREASING PROPERTY OF BOUNDARY VALUES OF SOLUTIONS TO PARABOLIC EQUATIONS WITH NONLOCAL BOUNDARY CONDITIONS, by Sangwon Seo (2000).",0.20441198,"GRAPHS WITH 4-STEINER CONVEX BALLS, by Tanja Gologranc (2015).",0.00019466877,"A k-deformed Model of Growing Complex Networks with Fitness, by Massimo Stella, Markus Brede (2014).",0.20852256,"Static Klein–Gordon–Maxwell–Proca systems in 4-dimensional closed manifolds, by Emmanuel Hebey, Trong Truong (2011).",0.00021034479,"HOW TO DEAL WITH THE ARROW OF TIME IN QUANTUM FIELD THEORY, by G. Vitiello (2001).",0.22165799,"Elsevier An improved least squares Laplacian pyramid for, by Michael Unser (1991).",0.00030082464
18980463,"Adult and larval photoreceptors use different mechanisms to specify the same Rhodopsin fates, by S. G. Sprecher, F. Pichaud, C. Desplan (2007).","Do we need a new family of optical-NIR extinction laws?, by J. Apell'aniz (2012).",0.25204527,"Glucocorticoid Receptor Activation Lowers the Threshold for NMDA-Receptor-Dependent Homosynaptic Long-Term Depression in the Hippocampus Through Activation of Voltage-Dependent Calcium Channels, by Christine M. Coussens, D. Steven Kerr, Wickliffe C. Abraham (1997).",0.00041866302,"The Effect of General Relativistic Precession on Tidal Disruption Events from Eccentric Nuclear Disks, by Heather Wernke, Ann-Marie Madigan (2019).",0.26946282,"Gd(III) ion-chelated supramolecular assemblies composed of PGMA-based polycations for effective biomedical applications, by Yu Zhao, Shun Duan, Bingran Yu, Fu-Sheng Liu, Gang Cheng, Fu-Jian Xu (2015).",0.00046664476,"Effect of a magnetic field on massive star winds I: mass-loss and velocity for a dipole field, by Christopher Bard, Richard Townsend (2016).",0.2817704,"Duplicated rDNA sequences of variable lengths flanking the short type I insertions in the rDNA of Drosophila melanogaster., by H Roiha, D Glover (1981).",0.00048178434,"Duplicated rDNA sequences of variable lengths flanking the short type I insertions in the rDNA of Drosophila melanogaster., by H Roiha, D Glover (1981).",0.28241068,"Pressure Overload Increases GATA4 Binding Activity via Endothelin-1, by Nina Hautala, Heikki Tokola, Marja Luodonpää, Jutta Puhakka, Hannu Romppanen, Olli Vuolteenaho, Heikki Ruskoaho (2001).",0.00051397085,"Optimizing the stability of single-chain proteins by linker length and composition mutagenesis, by C. R. Robinson, R. T. Sauer (1998).",0.2832685,"Robust network structure of the Sln1-Ypd1-Ssk1 three-component phospho-relay prevents unintended activation of the HOG MAPK pathway in Saccharomyces cerevisiae, by Joseph Dexter, Ping Xu, Jeremy Gunawardena, Megan McClean (2015).",0.00053703785
18981336,"Maximal Thurston–Bennequin number of +adequate links, by Tamás Kálmán (2008).","Dynamic Parameters of Balance Which Correlate to Elderly Persons with a History of Falls, by Jesse Muir, Douglas Kiel, Marian Hannan, Jay Magaziner, Clinton Rubin (2013).",0.00048160553,"Cosmic Ray Removal in Fiber Spectroscopic Image, by Zhongrui Bai, Haotong Zhang, Hailong Yuan, Jeffrey Carlin, Guangwei Li, Yongheng Zhao, Zihuang Cao (2017).",0.00029087067,"Swift: the missing link between peer-to-peer and information-centric networks, by Flutra Osmani, Victor Grishchenko, Raul Jimenez, Björn Knutsson (2012).",0.00048160553,"Exceptional points in the thermoacoustic spectrum, by Georg Mensah, Luca Magri, Camilo Silva, Philip Buschmann, Jonas Moeck (2018).",0.0003181696,"An update on model Ayush wellness clinic at president’s estate, India, by Upendarrao Golla (2018).",0.00048160553,"A comparative study of DC and AC microgrids in commercial buildings across different climates and operating profiles, by Daniel Fregosi, Sharmila Ravula, Dusan Brhlik, John Saussele, Stephen Frank, Eric Bonnema, Jennifer Scheib, Eric Wilson (2015).",0.00032180548,"Aerodrome Warning Verification Using Quality Measurement of Contingency Table (Case Study in Jakarta and Tanjungpinang), by Mochammad Donny Anggoro, Diana Cahaya Siregar, Regina Dara Ninggar, Laksita Widomurti (2020).",0.00048160553,"Non-thermal emission from stellar bow shocks, by Maria Valle, Martin Pohl (2018).",0.00032383204,"Cosmic Ray Removal in Fiber Spectroscopic Image, by Zhongrui Bai, Haotong Zhang, Hailong Yuan, Jeffrey Carlin, Guangwei Li, Yongheng Zhao, Zihuang Cao (2017).",0.00048160553,"Reanalysis of near-infrared extragalactic background light based on the IRTS observation, by T. Matsumoto, M. Kim, J. Pyo, K. Tsumura (2015).",0.0003633499
18981358,"Rubber hand illusion induced by touching the face ipsilaterally to a deprived hand: evidence for plastic “somatotopic” remapping in tetraplegics, by Michele Scandola, Emmanuele Tidoni, Renato Avesani, Giovanni Brunelli, Salvatore Aglioti, Valentina Moro (2014).","Influence of galvanic vestibular stimulation on egocentric and object-based mental transformations, by Bigna Lenggenhager, Christophe Lopez, Olaf Blanke (2007).",0.24858892,"Influence of galvanic vestibular stimulation on egocentric and object-based mental transformations, by Bigna Lenggenhager, Christophe Lopez, Olaf Blanke (2007).",9.3877316e-05,"Indications for conservative management of scoliosis (guidelines), by Hans-Rudolf Weiss, Stefano Negrini, Manuel Rigo, Tomasz Kotwicki, Martha Hawes, Theodoros Grivas, Toru Maruyama, Franz Landauer (2006).",0.2579049,"Dynamic Parameters of Balance Which Correlate to Elderly Persons with a History of Falls, by Jesse Muir, Douglas Kiel, Marian Hannan, Jay Magaziner, Clinton Rubin (2013).",0.00019663572,"Fifty years of devotion to spiders: a concise biography of Christo Deltshev, with a complete list of his publications and described taxa, by Pavel Stoev, Alexi Popov, Gergin Blagoev, Stoyan Lazarov (2009).",0.25918466,"Aerodrome Warning Verification Using Quality Measurement of Contingency Table (Case Study in Jakarta and Tanjungpinang), by Mochammad Donny Anggoro, Diana Cahaya Siregar, Regina Dara Ninggar, Laksita Widomurti (2020).",0.0003002286,"Scientific Workflow Systems for 21st Century e-Science, New Bottle or New Wine?, by Yong Zhao, Ioan Raicu, Ian Foster (2008).",0.2657593,"Determination of DPPH Radical Oxidation Caused by Methanolic Extracts of Some Microalgal Species by Linear Regression Analysis of Spectrophotometric Measurements, by Kai Marxen, Klaus Vanselow, Sebastian Lippemeier, Ralf Hintze, Andreas Ruser, Ulf-Peter Hansen (2007).",0.00030505657,"Investigation ofant colonyalgorithm in multiple traffic flow environments, by A. Tizghadam, M. Hashemi, A. Leon-Garcia (2005).",0.2805941,"A WISE Survey of Circumstellar Disks in Taurus, by T. Esplin, K. Luhman, E. Mamajek (2014).",0.00034588575
18982114,"Determinants of outcome in critically ill octogenarians after surgery: an observational study., by P Ford, I Thomas, T Cook, E Whitley, C Peden (2007).","Understanding patient safety performance and educational needs using the ‘Safety-II’ approach for complex systems, by Duncan McNab, Paul Bowie, Jill Morrison, Alastair Ross (2016).",0.25758028,"The Lipid Paradox Among Acute Ischemic Stroke Patients-A Retrospective Study of Outcomes and Complications, by Urvish Patel, Preeti Malik, Mihir Dave, Matthew DeMasi, Abhishek Lunagariya, Vishal Jani, Mandip Dhamoon (2019).",0.0002411604,"The Lipid Paradox Among Acute Ischemic Stroke Patients-A Retrospective Study of Outcomes and Complications, by Urvish Patel, Preeti Malik, Mihir Dave, Matthew DeMasi, Abhishek Lunagariya, Vishal Jani, Mandip Dhamoon (2019).",0.26681364,"Occupational Radiation Exposure during Endoscopic Retrograde Cholangiopancreatography and Usefulness of Radiation Protective Curtains, by Tomoyuki Minami, Tamito Sasaki, Masahiro Serikawa, Michihiro Kamigaki, Masanobu Yukutake, Takashi Ishigaki, Yasutaka Ishii, Teruo Mouri, Satoshi Yoshimi, Akinori Shimizu, Tomofumi Tsuboi, Keisuke Kurihara, Yumiko Tatsukawa, Eisuke Miyaki, Kazuaki Chayama (2014).",0.00034874678,"Effects of Teriparatide Administration on Fracture Healing after Intramedullary Nailing in Atypical Femoral Fractures, by Chul Hyun Park, Oog Jin Shon, Jeong Jae Moon, Bum Jin Shim, Jae Hee Heo (2016).",0.27427077,"Bacteremia with Aerococcus sanguinicola: Case Series with Characterization of Virulence Properties, by Erik Senneby, Birger Eriksson, Erik Fagerholm, Magnus Rasmussen (2014).",0.00040197372,"Bacteremia with Aerococcus sanguinicola: Case Series with Characterization of Virulence Properties, by Erik Senneby, Birger Eriksson, Erik Fagerholm, Magnus Rasmussen (2014).",0.2954021,"Cone-beam CT angiography (Dyna CT) for intraoperative localization of cerebral arteriovenous malformations., by Visish Srinivasan, Sebastian Schafer, Michael Ghali, Adam Arthur, Edward Duckworth (2016).",0.00041556358,"Toward estimating the impact of changes in immigrants' insurance eligibility on hospital expenditures for uncompensated care, by Liana Castel, Justin Timbie, Veronica Sendersky, Lesley Curtis, Keith Feather, Kevin Schulman (2003).",0.30954397,"Midlife Fitness and the Development of Chronic Conditions in Later Life, by Benjamin L. Willis, Ang Gao, David Leonard, Laura F. DeFina, Jarett D. Berry (2012).",0.00046896935
18982127,"GRAPHS WITH 4-STEINER CONVEX BALLS, by Tanja Gologranc (2015).","On No-Node Solutions of the Lazer-McKenna Suspension Bridge Models, by Fanglei Wang, Kangbao Zhou (2015).",0.17019558,"Distributionally Robust Counterpart in Markov Decision Processes, by Pengqian Yu, Huan Xu (2016).",0.00019466877,"GLOBAL EXISTENCE AND DECREASING PROPERTY OF BOUNDARY VALUES OF SOLUTIONS TO PARABOLIC EQUATIONS WITH NONLOCAL BOUNDARY CONDITIONS, by Sangwon Seo (2000).",0.17219555,"Static Klein–Gordon–Maxwell–Proca systems in 4-dimensional closed manifolds, by Emmanuel Hebey, Trong Truong (2011).",0.0002513528,"Distributionally Robust Counterpart in Markov Decision Processes, by Pengqian Yu, Huan Xu (2016).",0.1934278,"GLOBAL EXISTENCE AND DECREASING PROPERTY OF BOUNDARY VALUES OF SOLUTIONS TO PARABOLIC EQUATIONS WITH NONLOCAL BOUNDARY CONDITIONS, by Sangwon Seo (2000).",0.00027549267,"A k-deformed Model of Growing Complex Networks with Fitness, by Massimo Stella, Markus Brede (2014).",0.20634258,"Conditional Density Estimation with Dimensionality Reduction via Squared-Loss Conditional Entropy Minimization, by Voot Tangkaratt, Ning Xie, Masashi Sugiyama (2015).",0.00028061867,"HOW TO DEAL WITH THE ARROW OF TIME IN QUANTUM FIELD THEORY, by G. Vitiello (2001).",0.2152344,"High Resolution OFDM Channel Estimation with Low Speed ADC Using Compressive Sensing, by Jia Meng, Yingying Li, Nam Nguyen, Wotao Yin, Zhu Han (2011).",0.000284791
18982460,"A novel automatic regulatory device for continuous bladder irrigation based on wireless sensor in patients after transurethral resection of the prostate: A prospective investigation, by Aimin Ding, Huling Cao, Lihua Wang, Jiangang Chen, Jian Wang, Bosheng He (2016).","Dynamic Parameters of Balance Which Correlate to Elderly Persons with a History of Falls, by Jesse Muir, Douglas Kiel, Marian Hannan, Jay Magaziner, Clinton Rubin (2013).",0.00095546246,"Cone-beam CT angiography (Dyna CT) for intraoperative localization of cerebral arteriovenous malformations., by Visish Srinivasan, Sebastian Schafer, Michael Ghali, Adam Arthur, Edward Duckworth (2016).",0.00023037195,"An update on model Ayush wellness clinic at president’s estate, India, by Upendarrao Golla (2018).",0.00095546246,"Occupational Radiation Exposure during Endoscopic Retrograde Cholangiopancreatography and Usefulness of Radiation Protective Curtains, by Tomoyuki Minami, Tamito Sasaki, Masahiro Serikawa, Michihiro Kamigaki, Masanobu Yukutake, Takashi Ishigaki, Yasutaka Ishii, Teruo Mouri, Satoshi Yoshimi, Akinori Shimizu, Tomofumi Tsuboi, Keisuke Kurihara, Yumiko Tatsukawa, Eisuke Miyaki, Kazuaki Chayama (2014).",0.00026118755,"Swift: the missing link between peer-to-peer and information-centric networks, by Flutra Osmani, Victor Grishchenko, Raul Jimenez, Björn Knutsson (2012).",0.00095546246,"In vivo/in vitro Studies of the Effects of the Type II Arabinogalactan Isolated from Maytenus ilicifolia Mart. ex Reissek on the Gastrointestinal Tract of Rats, by Cristiane Baggio, Cristina Freitas, André Twardowschy, Ana Santos, Bárbara Mayer, Francine Potrich, Thales Cipriani, Guilherme Sassaki, Marcello Iacomini, Maria Marques, Sonia Mesia-Vela (2012).",0.0002708435,"Aerodrome Warning Verification Using Quality Measurement of Contingency Table (Case Study in Jakarta and Tanjungpinang), by Mochammad Donny Anggoro, Diana Cahaya Siregar, Regina Dara Ninggar, Laksita Widomurti (2020).",0.00095546246,"Midlife Fitness and the Development of Chronic Conditions in Later Life, by Benjamin L. Willis, Ang Gao, David Leonard, Laura F. DeFina, Jarett D. Berry (2012).",0.0002924204,"Cosmic Ray Removal in Fiber Spectroscopic Image, by Zhongrui Bai, Haotong Zhang, Hailong Yuan, Jeffrey Carlin, Guangwei Li, Yongheng Zhao, Zihuang Cao (2017).",0.00095546246,"The Lipid Paradox Among Acute Ischemic Stroke Patients-A Retrospective Study of Outcomes and Complications, by Urvish Patel, Preeti Malik, Mihir Dave, Matthew DeMasi, Abhishek Lunagariya, Vishal Jani, Mandip Dhamoon (2019).",0.00030136108
